EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
93849,63609.0,63.4,24.1,0.0,0.0,-0.9659258262890684,-0.25881904510252063,0.6152845999633276,-0.7883050558305255,0.0,0.0,9.0,9.0,40.91,-103.83,0.9926409081856205,0.0
737612,37237.0,60.3,38.5,1.0,1.0,-0.9440890203927844,0.32969064526278663,0.9657399376548548,0.2595117970697999,0.0,0.0,1.5,1.0,35.094,-83.9216,0.9758099074391496,0.0
428260,52497.0,217.9,86.7,9.0,0.0,0.2079116908177593,-0.9781476007338056,0.4937755501599772,0.8695893893466109,1.0,4500.0,3.0,2.0,34.370549999999994,-84.92635,0.9775159005339176,0.0
98701,39511.0,84.7,38.9,9.0,0.0,-0.06975647374412483,-0.9975640502598244,0.7961828637826158,-0.6050560696488488,0.0,250.0,1.5,0.0,33.8934,-87.59355,0.9826127994634808,0.0
285071,41669.0,42.7,27.0,12.0,0.0,-0.9692309097067544,-0.2461532930289929,0.9760105506323684,-0.21772323039653174,0.0,2400.0,4.5,3.0,34.14555,-96.72355,0.8691823015482631,0.0
607155,46977.0,61.0,27.1,3.0,0.0,-0.4186597375374281,0.9081431738250813,-0.13727877211326514,0.9905324521322229,1.0,500.0,1.5,1.0,36.1117,-85.86395000000002,0.9659464609521468,0.0
506841,66330.0,27.7,12.3,3.0,1.0,-0.9969173337331279,-0.07845909572784557,0.7748840413670407,-0.6321034111873487,0.0,200.0,3.0,2.0,41.0629,-96.58955,0.9873785896659736,0.0
296354,40177.0,169.2,73.5,3.0,0.0,-0.5699967625963029,0.8216469379421638,0.9536809966304456,-0.3008198076356673,0.0,300.0,2.5,2.0,40.4091,-85.69535,0.997999517956134,0.0
442444,45630.0,73.6,31.3,1.0,1.0,-0.9983916705573488,-0.056692787563377714,0.6807734094770161,-0.7324940716135789,0.0,0.0,2.0,2.0,35.93255,-96.6138,0.9796974727529566,0.0
610230,26210.0,20.3,8.9,18.0,0.0,-0.7575649843840494,-0.6527597524627227,-0.13727877211326514,0.9905324521322229,1.0,14400.0,4.0,4.0,34.254850000000005,-90.3242,0.9965061634229756,0.0
675972,38412.0,34.4,26.0,1.0,0.0,-0.3583679495453008,0.9335804264972016,0.8996308696522433,0.436651231956064,0.0,0.0,4.0,4.0,38.24645,-92.7129,0.9733070584020064,0.0
633642,55336.0,3.1,1.5,1.0,1.0,-0.9983916705573488,0.05669278756337735,0.6420547132365637,-0.7666588193001591,0.0,0.0,9.0,9.0,38.6772,-101.37,0.9999721677173352,0.0
373102,42941.0,104.4,44.0,16.0,0.0,-0.7313537016191709,0.6819983600624978,0.9778483415056568,0.20931464596304847,0.0,5200.0,2.5,0.0,35.6224,-94.3579,0.9815470673904408,0.0
527749,70121.0,4.1,1.3,5.0,0.0,-0.9978589232386036,0.06540312923014238,0.42500033996955416,-0.9051931898913974,0.0,50.0,10.0,10.0,35.7114,-102.5022,0.9992003827227992,0.0
735599,41081.0,103.1,41.1,6.0,1.0,-0.7518398074789778,0.6593458151000684,0.8115390590073609,0.5842981736283684,1.0,1000.0,2.0,1.0,36.849,-87.4399,0.990967349870173,0.0
