EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,casualties,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
771917,72752.0,153.9,61.9,1.0,0,-0.765483213493088,-0.6434558647337791,-0.8359254794186365,-0.5488429582847199,0,0,0.0,2.0,2.0,43.951,-88.04214999999999,0.8014505893019039,0
771919,53633.0,138.3,63.1,1.0,0,-0.7671651518152993,-0.6414496315691581,-0.8359254794186365,-0.5488429582847199,0,0,0.0,2.0,2.0,43.950500000000005,-88.03229999999999,0.39427607624759053,0
766663,47834.0,7.7,4.2,1.0,0,-0.99556196460308,0.09410831331851449,0.5012418134457758,-0.865307254363206,0,0,0.0,0.5,0.0,45.535399999999996,-100.2628,0.951666621901104,0
782818,43339.0,43.8,27.0,2.0,0,-0.8471219213821374,0.5313985795180826,-0.8359254794186365,-0.5488429582847199,0,0,0.0,2.0,2.0,44.01635,-83.69649999999999,0.5335615331501858,0
771609,75550.0,34.4,14.0,2.0,0,-0.8660254037844388,-0.4999999999999996,0.23030567023061221,-0.9731183372332619,0,0,0.0,1.0,1.0,41.01025,-95.79759999999999,0.9927378358750908,0
771569,57857.0,14.3,6.2,1.0,0,-0.9114032766354451,-0.41151435860510915,0.23030567023061221,-0.9731183372332619,0,0,0.0,7.0,7.0,41.93005,-97.09915,0.9929234338747099,0
770200,43811.0,9.2,4.5,1.0,1,-0.8788171126619653,-0.4771587602596087,0.12874817745258132,-0.99167731989929,0,0,0.0,5.0,5.0,45.7803,-97.04995,0.9694216258573478,0
776730,47749.0,230.8,102.7,18.0,1,-0.9167117510316198,-0.39954920287812035,-0.3294084822245302,-0.9441875088341994,0,0,2500.0,1.5,0.0,32.60755,-85.3655,0.9865064544937889,0
771716,42389.0,6.4,3.7,1.0,0,-0.9624552364536474,0.2714404498650739,0.3456123126707335,-0.9383773917408641,0,0,0.0,3.0,3.0,40.2228,-96.17555,0.9956576971936714,0
764421,49129.0,22.0,9.0,0.0,1,-0.7901550123756904,-0.6129070536529765,-0.455906693508459,-0.8900275764346766,0,1,0.0,1.0,1.0,40.25,-103.6,0.9897119977738958,0
776440,45608.0,237.5,164.0,10.0,0,-0.06540312923014287,-0.9978589232386035,-0.3617137307297674,-0.9322892131745134,0,0,0.0,1.0,1.0,33.6902,-78.88045,0.9035059760956176,0
774499,67375.0,1.8,1.1,13.0,1,-0.5577451089796901,-0.8300122850953675,-0.2135209154397959,-0.9769384927771817,0,0,300.0,4.5,4.0,47.23285,-102.1879,0.9646596607173734,0
777562,51222.0,24.7,10.0,2.0,1,-0.9723699203976767,-0.23344536385590514,0.02581844022713308,-0.9996666485105112,0,0,0.0,8.0,8.0,40.53935,-97.3044,0.996026444101265,0
776194,47373.0,67.1,62.8,1.0,0,0.7637960286346422,0.6454576877239505,-0.3131070409358267,-0.9497178427914317,0,0,0.0,5.0,5.0,38.06915,-92.86955,0.9256039738089862,0
764418,63609.0,63.4,24.1,1.0,1,-0.5620833778521303,-0.827080574274562,-0.455906693508459,-0.8900275764346766,0,0,0.0,11.0,11.0,40.83,-103.77,0.9926409081856203,0
763959,48939.0,55.0,23.8,2.0,0,-0.2663973482191174,-0.963863295733281,-0.3131070409358267,-0.9497178427914317,0,0,75.0,2.5,2.0,38.64,-86.1031,0.9944444444444445,0
763961,57573.0,81.2,34.1,16.0,0,-0.26891982061526554,-0.9631625667976582,-0.3131070409358267,-0.9497178427914317,1,0,1500.0,2.0,1.0,38.1549,-86.0928,0.9958891720792568,0
766286,57607.0,670.2,337.4,1.0,0,0.5899012371043607,-0.8074754054847397,-0.060213277365792774,-0.9981855344718586,0,0,0.0,2.0,2.0,26.8911,-80.0565,0.8265848653593564,0
781535,55210.0,35.9,15.5,0.0,0,-0.9711342799096362,-0.2385334575785803,-0.7055836101071774,-0.70862667826446,0,0,0.0,1.0,1.0,41.98,-90.96,0.9976083188908146,0
771579,51054.0,14.0,7.1,2.0,0,-0.9876883405951377,-0.15643446504023104,0.23030567023061221,-0.9731183372332619,0,0,0.0,1.0,1.0,41.9502,-96.48655,0.9889751740232567,0
774803,52592.0,2.4,1.3,1.0,0,-0.8921920137501845,-0.4516562969785659,-0.2802306751992161,-0.9599326896597445,0,0,0.0,10.0,10.0,44.66105,-98.9399,0.9975211431904344,0
